"","logFC","logCPM","PValue","FDR"
"PNMT",-1.25503869885828,2.27284357549589,0.00625004993928315,0.0142940956944716
"ACSL4",0.621220116033607,7.98416887170554,0.00706393143302523,0.0160072574674975
"MB21D2",-0.611322546240748,5.42239039721011,0.00719176342805836,0.0161487778793674
"CRISPLD2",1.01922206403081,7.4339872301794,0.00858899945603138,0.0191124582490068
"FHOD3",0.797378298834471,5.42662778171642,0.00984609697525774,0.0217141602936488
"RAB39B",0.845974764891887,3.18355746228951,0.0108551210212564,0.0237275654181445
"DHH",0.585969227152675,6.93893907351189,0.0113884306886462,0.0246749331587335
"FOXO4",0.56802494387215,7.08175753001436,0.0117376077734315,0.0252103401742397
"ESPN",0.551182904857176,8.90241601230364,0.012618082687027,0.0268678139973764
"GPSM1",0.486845743383324,7.43857689276359,0.0128162363107274,0.0269299311873951
"RAB20",-0.639973188279506,4.96406287960683,0.0128653112555167,0.0269299311873951
"MARK4",0.492864983282898,8.25621162215018,0.013248376869184,0.0274987318209114
"DAAM2",0.779173353726668,7.50981050807268,0.0137327095254701,0.0282664937732593
"TMEM163",0.584525282146699,5.54388670665542,0.0157449867711268,0.0319504505831696
"DLL1",0.796660974861519,3.64954899981158,0.0157811942151688,0.0319504505831696
"PDE4B",0.706652132366251,5.30388519079842,0.0166651805079414,0.033465850288305
"GUCY1B3",-0.95618463575544,2.65705543943776,0.0170631897959035,0.0339887732224851
"CLDN1",1.00921134160573,5.38431707217728,0.0180459272647269,0.0356587522751004
"SLC18B1",0.757753285498903,4.31949825607113,0.0191803615695175,0.0375995976799271
"CGN",0.565602709367089,7.07517642767899,0.0203308895250984,0.0394171812419989
"CTGF",0.965238999357047,6.96451034935666,0.0205504570422697,0.0394171812419989
"UNC119",0.460942649167121,7.37947335626856,0.0205863011344852,0.0394171812419989
"ITGA3",0.682795231696395,5.48296124324937,0.0212809715916531,0.0404338460241409
"TF",-0.812110795909297,6.73315985295592,0.02317079368912,0.0436884430626919
"WT1",0.513451937759134,7.7525116913156,0.0239567791297572,0.0448282154928033
"PM20D2",-0.635369785270199,4.05772685815361,0.0255325433862724,0.0474175805745059
"EPN1",-0.460534975269832,8.16427403254627,0.027601477303009,0.050877349954054
"MSN",0.729985520125294,7.07453026297679,0.029125687225685,0.0532892203314385
"PTGES",0.666280963671232,6.49389164001571,0.0314787487675819,0.0571709628352406
"CLDN3",1.25569455823853,2.40262569382792,0.0332446385473391,0.0598001050919731
"CLCF1",-1.04052893275601,1.93210169791148,0.0334105850311429,0.0598001050919731
"SH3BP4",0.476564397293944,7.02952968600522,0.0346663353987927,0.0616013298093654
"TAGLN",-0.62754780245567,7.39083716452093,0.0357066604188416,0.0629967508818135
"JAM3",0.376940772509369,8.31569571857008,0.0394400910080709,0.0690900885035
"CLDN16",-1.32453284186478,-0.401174236064609,0.0416979372791799,0.0725309190701228
"AKT1",0.42601948694936,7.61827433685819,0.0443066869427442,0.0765297319920127
"TSPAN17",0.415150349295689,7.31336451540082,0.0479810577046845,0.0823008420351186
"SHC4",0.500437021911817,6.70983724954499,0.0494932649350543,0.0843092168204028
"SFXN1",0.490198721984623,5.41478208580092,0.0514014623227706,0.086960008176194
"ADRA2C",-0.654616524003044,3.42986998267495,0.0534140292300424,0.0897501035361938
"LPAR2",0.379206389145283,7.70501492972722,0.0550871938661756,0.0919360600334147
"KCNH2",0.351026808093733,8.22898558054007,0.0594847054307739,0.0986088741033634
"PRKAR1B",-0.455568823141392,5.08417614740192,0.0605283795369136,0.0996700649707844
"RRAD",-0.806158430357533,3.41591864123066,0.0623975154376503,0.10206745902715
"DDR1",0.492441167875842,6.88148508345871,0.0641459971318526,0.104237245339261
"PIK3R2",0.434455603533072,7.11584621976533,0.0667080410447779,0.107692066261831
"B3GNT2",0.411875620211823,5.47832559355999,0.0715853966181858,0.114815538731766
"KCND1",0.691215334129925,3.48026398400585,0.0747844590879424,0.119172654159495
"KHK",0.586589468598812,4.2458589986036,0.0784053103226973,0.124141741344271
"FAM110B",0.380360452145927,6.04744429679425,0.0795472374000363,0.125147564572032
"IL8",1.91540983141073,2.28124862285545,0.0868707292706199,0.135804241328121
"ADORA1",0.407629739155149,7.51491836724037,0.0879530863362128,0.136631524056884
"ITGB4",-0.662477593108542,3.40237554554073,0.0887016185114877,0.136933123577109
"BEX4",0.345527401939477,7.12046389052411,0.0967033976677911,0.148358628720151
"SIN3B",0.376000001068577,8.61783275084455,0.114474757144893,0.174538672930793
"NMT2",0.331059854162618,6.5990105294426,0.130923258910487,0.198392913809143
"TUBG2",0.356748966008954,5.18787336836095,0.137036942145573,0.206391004329004
"PKP3",-0.807098291889913,1.00217524418809,0.143166756681625,0.214316296365827
"LGALS4",0.753579670810085,0.974819494041229,0.150371584049917,0.223745670242949
"LIF",0.814997945858838,2.37172262416833,0.168003019736719,0.248483508233351
"TYRO3",0.254262646088808,7.82525412405814,0.170516991807686,0.250700577241062
"BCAR1",-0.252795879422361,7.94983740042961,0.17447725829924,0.25500522366812
"DSC2",-0.754246751050327,1.74222779682485,0.177759039879199,0.257568842591717
"CYTIP",-0.523771085611394,2.90923867977392,0.178316891025035,0.257568842591717
"RAB27A",-0.34937858800004,4.98299109048279,0.181966394759404,0.261312206427749
"PVRL1",0.357040653213712,4.30575014524308,0.190475495368677,0.271770064147019
"MYZAP",-0.584165827305972,2.28972852694312,0.191449356929479,0.271770064147019
"GJB1",0.32893426364811,5.43622159268227,0.193658216872387,0.273334740385598
"RAB17",0.858336320143236,2.68077577219033,0.198045308375563,0.277938586186159
"RAB44",0.826684751010672,0.318549565127174,0.209081515426771,0.29176912039781
"CHGA",-0.411942421173537,8.49867401029227,0.210530549292338,0.292008141744247
"BMP2",-0.605472463252185,1.73624115874601,0.211617236324778,0.292008141744247
"CST9L",-0.303757364221025,7.12642800936205,0.219244361267938,0.300851984628782
"ADRA2B",1.00820006884736,4.52821077908401,0.222886287403182,0.304159740268431
"STRA6",-0.32092425559737,4.63069210704395,0.227529922487728,0.308790609090488
"LZTS1",-0.409379517867133,6.17598077736652,0.245299569135751,0.331087396593063
"CASQ2",-0.637227153310296,1.72614441938854,0.247174698631443,0.331526266152406
"PLAU",-0.609017274909333,2.17690676372903,0.248309146713341,0.331526266152406
"WNT5A",-0.352301789595503,4.21756264556889,0.250537814142217,0.332703441360901
"RAB40A",0.439002778412036,2.58698954931687,0.252682335832033,0.3337568820883
"RASL11B",-0.307880882058501,4.61017326068415,0.272047693861277,0.357424363743273
"WNT4",-0.440031630656234,2.41728047823069,0.295838083425603,0.384140692621682
"TTYH1",-0.21852423457725,7.70916564092876,0.295937273630842,0.384140692621682
"OLFML2B",-0.272713143699149,6.17943340430251,0.297048065954418,0.384140692621682
"SPSB1",-0.240824621140166,5.27732952525442,0.307604137296388,0.395719905792749
"PGBD5",-0.235841038118629,5.66892450966514,0.311744025674148,0.398967742702149
"ZCCHC12",-0.675028366537859,0.8130177531227,0.323929350854955,0.412425513717391
"NAB2",-0.203665958473298,6.28602529313572,0.326929655396106,0.414110896835068
"RHOQ",-0.242241076171179,5.21602933788337,0.330308100184223,0.416255616048485
"CLDN2",-0.69512945563084,-0.651402306214422,0.332832422298578,0.417307656384512
"ARAF",0.209972658707263,5.90162576363193,0.338605469795973,0.4224017729273
"HBEGF",-0.322324448726187,4.24285384858487,0.380465611694909,0.472236211500716
"FZD8",-0.267691783873126,4.22464499346441,0.396756478771705,0.488609223334107
"DSC3",1.0207915981431,0.0352187504992944,0.397613173644354,0.488609223334107
"CDH2",0.166284211128652,8.04629089029134,0.402878002002313,0.492628051953323
"NPPC",-0.800880445265008,-0.849719040243005,0.405895698819957,0.493873091667633
"TPBGL",-0.226506002341121,4.90489834855533,0.416643632877023,0.504465575101102
"HPCAL1",-0.173609323368719,7.37481975733243,0.427273653925781,0.514812646437405
"FGF10",0.60994620909382,0.41130307812268,0.438805287301366,0.526140320210861
"IGSF8",0.176995182034498,7.50619572082541,0.441468132071537,0.526775983679563
"RAB11FIP1",0.209683204738199,6.33727275042624,0.445397934661942,0.528910047411056
"EFNB2",-0.18653007813861,5.97839136450041,0.458661433515791,0.542054421427753
"LIMS2",-0.208625664677371,4.68460434666507,0.481470858135386,0.565531119994199
"TSPAN2",-0.346304132532095,1.83653809908516,0.485590612244821,0.565531119994199
"PSRC1",0.193053260662086,5.25625105090513,0.487594868322715,0.565531119994199
